"","member_casual","hour","number_of_rides","average_duration"
"1","casual","0",8363,104.270323647814
"2","casual","1",5495,103.816499848347
"3","casual","2",3361,103.872984230884
"4","casual","3",1982,170.224932727884
"5","casual","4",1196,126.533653846154
"6","casual","5",2690,99.0180173482032
"7","casual","6",6291,66.4045408785037
"8","casual","7",13302,32.2008845787601
"9","casual","8",22304,54.82087517934
"10","casual","9",29057,68.1941350907986
"11","casual","10",45374,69.4586903659952
"12","casual","11",61323,58.2373144388457
"13","casual","12",71626,55.4213967925986
"14","casual","13",77406,57.6567337587956
"15","casual","14",81143,59.2602719889578
"16","casual","15",82461,57.75001758407
"17","casual","16",85398,54.4070897444905
"18","casual","17",86809,60.0671007614418
"19","casual","18",69297,51.8178764352473
"20","casual","19",51181,53.5436438001081
"21","casual","20",34930,61.7070526767821
"22","casual","21",25433,66.401131076423
"23","casual","22",21421,62.9625453215692
"24","casual","23",14339,49.6882023386103
"25","member","0",15749,17.0889813109827
"26","member","1",8967,14.908016430616
"27","member","2",5230,25.1443499043977
"28","member","3",3546,26.0302406467381
"29","member","4",6686,11.1411755907867
"30","member","5",34443,10.9778276185776
"31","member","6",104094,12.002148378709
"32","member","7",229602,12.7625263862394
"33","member","8",288164,12.9710286503519
"34","member","9",137069,13.2317921387525
"35","member","10",102288,13.459216134835
"36","member","11",122331,13.0050487338996
"37","member","12",139549,15.6131326630789
"38","member","13",135236,13.8745900992832
"39","member","14",130495,14.1711617303345
"40","member","15",166568,14.509936682516
"41","member","16",295834,14.1495375785069
"42","member","17",391277,14.9006654705831
"43","member","18",248234,15.1283798082992
"44","member","19",159256,16.0903198832906
"45","member","20",100127,14.9363268648816
"46","member","21",71863,15.191946017654
"47","member","22",48800,14.3222329234973
"48","member","23",28452,14.5313733070903
